bin,packets,bytes
15450.0,4,586
15460.0,2,428
15470.0,2,684
15480.0,4,586
15490.0,48,5498
15500.0,1,86
15510.0,5,352
15540.0,4,330
15550.0,3,1026
15560.0,1,342
15570.0,4,586
15580.0,3,770
15590.0,3,600
15600.0,4,586
15610.0,1,342
15620.0,1,86
15630.0,3,244
15650.0,1,86
15660.0,6,488
15680.0,7,2117
15690.0,14,2919
15700.0,1,342
15710.0,1,342
15720.0,4,586
15730.0,3,770
15750.0,3,244
15770.0,1,86
15780.0,3,244
15790.0,48,5051
15800.0,20,2685
15810.0,8,1122
15820.0,4,1823
15830.0,1,342
15840.0,5,672
15850.0,2,684
15860.0,1,342
15870.0,170,87559
15880.0,1,86
15890.0,2,258
15900.0,3,244
15920.0,1,86
15930.0,6,1270
15940.0,1,342
15950.0,1,342
15960.0,6,1014
15970.0,32,10506
15980.0,5,611
15990.0,4,586
16000.0,3,311
16030.0,6,438
16060.0,6,1270
16070.0,2,428
16080.0,2,684
16090.0,48,5365
16100.0,21,2523
16110.0,4,536
16120.0,4,586
16150.0,4,330
16180.0,3,244
16190.0,6,1370
16200.0,2,684
16210.0,4,586
16220.0,2,428
16230.0,1,342
16240.0,4,586
16250.0,1,342
16260.0,1,86
16270.0,39,11370
16280.0,4,269
16300.0,5,384
16320.0,3,1026
16330.0,5,928
16340.0,2,428
16350.0,1,342
16360.0,4,586
16370.0,1,342
16380.0,2,428
16390.0,49,5562
16400.0,20,2181
16410.0,3,194
16420.0,3,244
16440.0,1,342
16450.0,7,1356
16460.0,1,342
16470.0,1,342
16480.0,5,928
16490.0,4,686
16500.0,1,342
16510.0,3,244
16530.0,1,86
16540.0,3,244
16570.0,7,1356
16580.0,1,342
16590.0,7,1586
16600.0,15,3261
16610.0,1,342
16620.0,1,342
16630.0,4,586
16640.0,1,86
16660.0,3,244
16680.0,1,86
16690.0,51,5399
16700.0,23,3207
16710.0,4,792
16720.0,5,672
16730.0,1,342
16740.0,1,342
16750.0,4,586
16760.0,2,428
16780.0,3,244
16790.0,3,344
16810.0,3,244
16830.0,5,1454
16840.0,4,586
16850.0,1,342
16860.0,1,342
16870.0,5,672
16880.0,2,684
16900.0,3,244
16910.0,1,86
16930.0,3,244
16950.0,3,770
16960.0,5,928
16970.0,1,342
16980.0,2,428
16990.0,50,5449
17000.0,22,2865
17010.0,3,450
17020.0,4,330
17040.0,2,232
17060.0,1,86
17070.0,36,11155
17080.0,6,953
17090.0,4,942
17100.0,5,672
17110.0,1,342
17120.0,2,684
17130.0,4,586
17140.0,2,428
17160.0,3,244
17170.0,1,86
17190.0,3,244
17210.0,4,1112
17220.0,4,586
17230.0,1,342
17240.0,1,342
17250.0,6,1014
17260.0,1,342
17270.0,1,342
17280.0,3,244
17290.0,45,4865
17300.0,20,2181
17310.0,5,352
17330.0,1,86
17340.0,6,1270
